"club","total_attempts","total_on_target","total_off_target","total_blocked","total_matches"
Total,3087,1074,1224,789,254
Sheriff,54,20,24,10,6
Porto,82,25,32,25,13
LOSC,90,22,37,31,8
Paris,92,39,31,22,8
Atalanta,81,30,28,23,6
Atlético,96,27,47,22,10
Dortmund,84,29,34,21,6
Real Madrid,179,69,62,48,13
Milan,48,16,23,9,6
Salzburg,89,37,27,25,8
Villarreal,115,45,45,25,12
Benfica,91,35,36,20,10
Sporting CP,79,31,31,17,8
Shakhtar Donetsk,81,21,37,23,6
Bayern,192,70,76,46,10
Beşiktaş,49,12,27,10,5
Inter,133,40,58,35,8
Man. City,193,68,59,66,12
Ajax,131,52,52,27,8
Barcelona,60,11,29,20,6
Young Boys,82,25,40,17,6
Man. United,88,40,29,19,8
Leipzig,87,34,30,23,6
Dynamo Kyiv,47,16,18,13,6
Wolfsburg,44,11,22,11,6
Juventus,105,37,54,14,7
Malmö,35,7,22,6,6
Sevilla,71,23,31,17,6
Liverpool,203,74,73,56,13
Club Brugge,59,24,18,17,6
Zenit,80,27,29,24,6
Chelsea,167,57,63,47,9
