"club","total_fouls_committed","total_fouls_suffered","total_red","total_yellow","total_minutes_played","total_matches"
Total,2897,2643,492,25,21851,254
Sheriff,64,49,13,0,540,6
Porto,94,75,17,2,908,13
LOSC,78,97,24,0,720,8
Paris,76,105,19,0,720,8
Atalanta,68,73,9,0,526,6
Atlético,139,123,25,4,816,10
Dortmund,64,42,8,2,503,6
Real Madrid,120,149,25,0,1199,13
Milan,73,81,16,1,450,6
Salzburg,129,86,15,0,720,8
Villarreal,115,112,24,2,1080,12
Benfica,110,122,19,0,900,10
Sporting CP,85,108,17,0,611,8
Shakhtar Donetsk,64,51,5,0,540,6
Bayern,115,94,12,0,876,10
Beşiktaş,63,62,16,2,442,5
Inter,86,78,12,2,720,8
Man. City,126,118,21,1,986,12
Ajax,117,75,15,0,720,8
Young Boys,87,42,11,0,532,6
Barcelona,83,65,13,1,525,6
Man. United,80,86,17,1,611,8
Leipzig,97,62,13,1,531,6
Dynamo Kyiv,54,78,10,0,540,6
Wolfsburg,88,64,25,2,540,6
Juventus,79,81,10,0,627,7
Malmö,74,60,15,1,500,6
Sevilla,77,85,20,2,540,6
Liverpool,146,116,15,0,1008,13
Club Brugge,62,54,9,0,540,6
Zenit,50,64,9,1,540,6
Chelsea,134,86,13,0,840,9
