"club","total_assists","total_corners","total_offsides","total_dribbles","total_matches"
Total,281,588,250,1581,237
Porto,3,1,2,10,6
Sheriff,5,9,2,21,6
LOSC,4,0,3,23,7
Paris,7,19,10,73,8
Atalanta,11,10,11,57,6
Atlético,7,15,9,47,10
Dortmund,8,13,10,41,6
Real Madrid,21,21,19,165,13
Milan,5,3,7,46,5
Salzburg,6,22,8,49,8
Villarreal,16,40,11,74,12
Sporting CP,9,9,5,44,8
Benfica,10,19,4,51,10
Shakhtar Donetsk,2,4,0,5,4
Bayern,24,20,25,145,10
Beşiktaş,2,9,0,4,3
Inter,6,0,7,26,8
Man. City,23,83,33,144,12
Ajax,17,38,16,96,8
Barcelona,1,0,1,0,5
Young Boys,4,18,0,45,6
Man. United,11,13,6,16,7
Leipzig,12,17,9,27,6
Dynamo Kyiv,1,10,0,8,6
Wolfsburg,4,10,0,1,6
Juventus,6,9,2,22,5
Malmö,1,0,0,19,6
Sevilla,3,8,1,17,6
Liverpool,23,92,24,167,13
Club Brugge,5,26,16,34,6
Zenit,8,18,6,26,6
Chelsea,16,32,3,78,9
