"club","total_minutes_played","total_matches","total_goals","total_assists","average_distance_covered","total_corners","total_dribbles","total_offsides","total_right_foot_goals","total_left_foot_goals","total_header_goals","total_other_goals","total_penalties","total_inside_goals","total_outside_goals","total_balls_recovered","total_tackles","total_tackles_won","total_tackles_lost","total_clearance_attempted","avg_pass_accuracy","total_pass_attempted","total_pass_completed","avg_cross_accuracy","total_cross_attempted","total_cross_completed","total_freekicks_taken","total_attempts","total_on_target","total_off_target","total_blocked","total_saves_attempted","total_saved","total_conceded","total_saved_penalties","total_cleansheets","total_saves_by_punches","total_red","total_yellow","total_fouls_committed","total_fouls_suffered"
Ajax,720,8,21,17,46.44,38,96,16,5,12,3,1,1,20,1,327,107,46,61,83,87.81,4488,3941,33.96,159,54,94,131,52,52,27,23,15,8,0,2,2,15,0,117,75
Atalanta,540,6,12,11,33.73,10,57,11,4,7,1,0,0,10,2,280,65,31,34,100,82.30,2921,2404,30.39,102,31,88,81,30,28,23,34,21,13,0,1,1,9,0,68,73
Atlético,900,10,9,7,52.09,15,47,9,3,4,2,0,1,9,0,474,132,56,76,190,78.51,3509,2755,22.22,117,26,127,96,27,47,22,36,26,10,0,3,2,25,4,139,123
Barcelona,540,6,2,1,30.53,0,0,1,2,0,0,0,0,2,0,235,89,38,51,47,87.88,3498,3074,25.42,118,30,84,60,11,29,20,25,16,9,0,3,2,13,1,83,65
Bayern,876,10,30,24,49.42,20,145,25,13,12,3,1,3,26,4,439,92,40,52,86,88.68,6147,5451,27.75,209,58,114,192,70,76,46,25,18,7,0,4,3,12,0,115,94
Benfica,900,10,13,10,48.90,19,51,4,8,2,3,0,1,13,0,390,144,73,71,207,81.38,3689,3002,31.03,116,36,173,91,35,36,20,55,38,17,1,5,5,19,0,110,122
Beşiktaş,450,5,3,2,25.36,9,4,0,0,1,2,0,1,3,0,276,96,45,51,81,81.82,2470,2021,26.39,72,19,79,49,12,27,10,43,24,19,0,0,0,16,2,63,62
Chelsea,840,9,21,16,47.45,32,78,3,13,4,4,0,2,21,0,403,96,45,51,99,89.22,6382,5694,30.36,224,68,110,167,57,63,47,23,13,10,0,5,2,13,0,134,86
Club Brugge,540,6,5,5,33.33,26,34,16,4,1,0,0,0,5,0,262,67,28,39,111,78.30,2161,1692,18.09,94,17,72,59,24,18,17,48,28,20,0,0,1,9,0,62,54
Dortmund,540,6,10,8,30.51,13,41,10,5,3,2,0,2,10,0,282,58,18,40,73,85.31,3110,2653,23.40,94,22,60,84,29,34,21,25,14,11,1,2,1,8,2,64,42
Dynamo Kyiv,540,6,1,1,32.09,10,8,0,1,0,0,0,0,1,0,237,70,27,43,102,83.53,2441,2039,20.69,58,12,89,47,16,18,13,28,17,11,0,1,6,10,0,54,78
Inter,720,8,9,6,42.23,0,26,7,6,2,1,0,0,8,1,306,109,47,62,115,86.91,3911,3399,31.69,183,58,94,133,40,58,35,19,12,7,0,3,5,12,2,86,78
Juventus,630,7,11,6,32.54,9,22,2,2,6,3,0,2,11,0,349,92,40,52,114,88.20,4100,3616,25.20,127,32,85,105,37,54,14,26,16,10,0,4,3,10,0,79,81
LOSC,816,10,8,4,41.10,0,23,3,5,3,0,0,2,7,1,313,91,49,42,124,80.37,3414,2744,27.45,102,28,126,90,22,37,31,25,17,8,0,3,1,24,0,78,97
Leipzig,531,6,15,12,30.03,17,27,9,9,2,4,0,2,14,1,260,89,41,48,92,82.54,2578,2128,28.43,102,29,90,87,34,30,23,28,14,14,0,1,0,13,1,97,62
Liverpool,1170,13,28,23,52.92,92,167,24,11,13,6,0,1,25,5,578,124,59,65,151,86.58,8204,7103,25.09,275,69,170,203,74,73,56,29,15,14,0,4,3,15,0,146,116
Malmö,500,6,1,1,32.12,0,19,0,1,0,0,0,0,1,0,209,72,32,40,143,79.99,2139,1711,23.40,47,11,78,35,7,22,6,46,32,14,1,0,4,15,1,74,60
Man. City,1003,12,28,23,55.57,83,144,33,14,9,5,0,2,26,2,448,103,38,65,112,90.28,7511,6781,23.77,223,53,147,193,68,59,66,34,18,16,0,5,2,21,1,126,118
Man. United,630,8,12,11,25.79,13,16,6,9,2,1,0,0,9,3,317,85,41,44,131,85.98,4016,3453,24.00,125,30,107,88,40,29,19,32,22,10,0,1,1,17,1,80,86
Milan,450,6,5,5,29.54,3,46,7,3,1,1,0,0,5,0,271,74,34,40,118,81.74,2366,1934,32.94,85,28,94,48,16,23,9,31,22,9,1,1,3,16,1,73,81
Paris,720,8,15,7,40.45,19,73,10,7,7,1,0,2,13,2,280,111,50,61,135,90.23,4585,4137,19.72,71,14,120,92,39,31,22,40,29,11,1,2,12,19,0,76,105
Porto,540,6,2,3,29.63,1,10,2,1,0,1,0,1,2,0,239,80,27,53,113,78.38,2081,1631,30.86,81,25,98,82,25,32,25,29,18,11,0,2,2,17,2,94,75
Real Madrid,1230,13,28,21,59.84,21,165,19,17,7,4,0,3,22,6,514,166,76,90,188,87.84,7415,6513,24.60,187,46,180,179,69,62,48,75,61,14,1,5,4,25,0,120,149
Salzburg,720,8,10,6,44.79,22,49,8,4,6,0,0,3,9,1,369,116,44,72,152,75.75,2936,2224,16.51,109,18,100,89,37,27,25,30,16,14,0,1,3,15,0,129,86
Sevilla,540,6,5,3,31.51,8,17,1,4,0,1,0,2,5,0,272,51,18,33,64,85.37,3131,2673,26.71,146,39,100,71,23,31,17,19,14,5,0,2,1,20,2,77,85
Shakhtar Donetsk,540,6,2,2,27.84,4,5,0,2,0,0,0,0,2,0,209,41,14,27,82,90.63,3426,3105,24.19,62,15,67,81,21,37,23,36,24,12,0,2,4,5,0,64,51
Sheriff,540,6,7,5,35.86,9,21,2,1,2,3,1,0,5,2,226,101,38,63,183,78.15,1629,1273,30.88,68,21,61,54,20,24,10,46,35,11,0,1,3,13,0,64,49
Sporting CP,630,8,14,9,33.69,9,44,5,5,6,2,1,2,11,3,281,116,51,65,125,81.73,2966,2424,25.32,79,20,147,79,31,31,17,37,20,17,0,2,8,17,0,85,108
Total,21851,254,368,281,38.27,588,1581,250,178,127,60,4,36,332,38,10287,2967,1297,1670,3959,85.10,119550,101741,26.84,3864,1037,3327,3087,1074,1224,789,1097,717,380,6,70,110,492,25,2897,2643
Villarreal,1080,12,20,16,55.26,40,74,11,8,9,3,0,2,20,0,462,131,54,77,274,82.31,4749,3909,33.62,116,39,163,115,45,45,25,57,41,16,0,3,12,24,2,115,112
Wolfsburg,540,6,5,4,32.54,10,1,0,2,2,1,0,0,5,0,260,51,27,24,152,77.32,2235,1728,27.78,72,20,85,44,11,22,11,33,23,10,0,1,2,25,2,88,64
Young Boys,532,6,7,4,27.55,18,45,0,4,2,1,0,0,5,2,277,81,38,43,84,83.03,2664,2212,25.78,128,33,55,82,25,40,17,33,21,12,0,0,2,11,0,87,42
Zenit,540,6,9,8,31.60,18,26,6,5,2,2,0,1,7,2,242,67,32,35,128,86.52,2678,2317,31.86,113,36,70,80,27,29,24,27,17,10,0,1,10,9,1,50,64
