"club","avg_pass_accuracy","total_pass_attempted","total_pass_completed","avg_cross_accuracy","total_cross_attempted","total_cross_completed","total_freekicks_taken","total_matches"
Total,85.10,119550,101741,26.84,3864,1037,3327,249
Sheriff,78.15,1629,1273,30.88,68,21,61,6
Porto,78.38,2081,1631,30.86,81,25,98,6
LOSC,80.37,3414,2744,27.45,102,28,126,10
Paris,90.23,4585,4137,19.72,71,14,120,8
Atalanta,82.30,2921,2404,30.39,102,31,88,6
Atlético,78.51,3509,2755,22.22,117,26,127,10
Dortmund,85.31,3110,2653,23.40,94,22,60,6
Real Madrid,87.84,7415,6513,24.60,187,46,180,13
Milan,81.74,2366,1934,32.94,85,28,94,6
Salzburg,75.75,2936,2224,16.51,109,18,100,8
Villarreal,82.31,4749,3909,33.62,116,39,163,12
Benfica,81.38,3689,3002,31.03,116,36,173,10
Sporting CP,81.73,2966,2424,25.32,79,20,147,8
Shakhtar Donetsk,90.63,3426,3105,24.19,62,15,67,6
Bayern,88.68,6147,5451,27.75,209,58,114,10
Beşiktaş,81.82,2470,2021,26.39,72,19,79,5
Inter,86.91,3911,3399,31.69,183,58,94,8
Man. City,90.28,7511,6781,23.77,223,53,147,12
Ajax,87.81,4488,3941,33.96,159,54,94,8
Young Boys,83.03,2664,2212,25.78,128,33,55,6
Barcelona,87.88,3498,3074,25.42,118,30,84,6
Man. United,85.98,4016,3453,24.00,125,30,107,8
Leipzig,82.54,2578,2128,28.43,102,29,90,6
Dynamo Kyiv,83.53,2441,2039,20.69,58,12,89,6
Wolfsburg,77.32,2235,1728,27.78,72,20,85,6
Juventus,88.20,4100,3616,25.20,127,32,85,7
Malmö,79.99,2139,1711,23.40,47,11,78,6
Sevilla,85.37,3131,2673,26.71,146,39,100,6
Liverpool,86.58,8204,7103,25.09,275,69,170,13
Club Brugge,78.30,2161,1692,18.09,94,17,72,6
Chelsea,89.22,6382,5694,30.36,224,68,110,9
Zenit,86.52,2678,2317,31.86,113,36,70,6
