"club","total_attempted","total_saved","total_conceded","total_saved_penalties","total_cleansheets","total_saves_by_punches","total_matches"
Total,1097,717,380,6,70,110,219
Porto,29,18,11,0,2,2,6
Sheriff,46,35,11,0,1,3,5
LOSC,25,17,8,0,3,1,6
Paris,40,29,11,1,2,12,5
Atalanta,34,21,13,0,1,1,6
Atlético,36,26,10,0,3,2,10
Dortmund,25,14,11,1,2,1,6
Real Madrid,75,61,14,1,5,4,13
Milan,31,22,9,1,1,3,3
Salzburg,30,16,14,0,1,3,8
Villarreal,57,41,16,0,3,12,12
Sporting CP,37,20,17,0,2,8,7
Benfica,55,38,17,1,5,5,10
Shakhtar Donetsk,36,24,12,0,2,4,3
Bayern,25,18,7,0,4,3,9
Beşiktaş,43,24,19,0,0,0,5
Inter,19,12,7,0,3,5,8
Man. City,34,18,16,0,5,2,11
Ajax,23,15,8,0,2,2,6
Young Boys,33,21,12,0,0,2,3
Barcelona,25,16,9,0,3,2,6
Man. United,32,22,10,0,1,1,7
Leipzig,28,14,14,0,1,0,5
Dynamo Kyiv,28,17,11,0,1,6,5
Wolfsburg,33,23,10,0,1,2,5
Juventus,26,16,10,0,4,3,7
Malmö,46,32,14,1,0,4,4
Sevilla,19,14,5,0,2,1,6
Liverpool,29,15,14,0,4,3,13
Club Brugge,48,28,20,0,0,1,6
Chelsea,23,13,10,0,5,2,9
Zenit,27,17,10,0,1,10,4
